hour,demand_m3h,total_power_kw,penalty_fcfa,tariff_fcfa_kwh,pumps_active,pumps_status,energy_cost_fcfa,total_cost_fcfa
0,47.821477663884174,38.0,0,75,['P2'],"{'P1': 'OFF', 'P2': 'ON', 'P3': 'OFF'}",2850.0,2850.0
1,43.940176556770226,38.0,0,75,['P2'],"{'P1': 'OFF', 'P2': 'ON', 'P3': 'OFF'}",2850.0,2850.0
2,46.04186504259095,38.0,0,75,['P2'],"{'P1': 'OFF', 'P2': 'ON', 'P3': 'OFF'}",2850.0,2850.0
3,44.97425902873251,38.0,0,75,['P2'],"{'P1': 'OFF', 'P2': 'ON', 'P3': 'OFF'}",2850.0,2850.0
4,46.91768545148611,38.0,0,75,['P2'],"{'P1': 'OFF', 'P2': 'ON', 'P3': 'OFF'}",2850.0,2850.0
5,45.14726350186792,38.0,0,75,['P2'],"{'P1': 'OFF', 'P2': 'ON', 'P3': 'OFF'}",2850.0,2850.0
6,135.95419536418058,125.0,0,75,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",9375.0,9375.0
7,137.5473600676371,125.0,0,110,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",13750.0,13750.0
8,138.305514991736,125.0,0,110,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",13750.0,13750.0
9,133.93366606515283,125.0,0,110,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",13750.0,13750.0
10,89.08563149204821,87.0,0,110,"['P1', 'P3']","{'P1': 'ON', 'P2': 'OFF', 'P3': 'ON'}",9570.0,9570.0
11,113.04949693097214,87.0,0,110,"['P1', 'P3']","{'P1': 'ON', 'P2': 'OFF', 'P3': 'ON'}",9570.0,9570.0
12,110.67602424805547,87.0,0,110,"['P1', 'P3']","{'P1': 'ON', 'P2': 'OFF', 'P3': 'ON'}",9570.0,9570.0
13,115.26908463063937,125.0,0,110,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",13750.0,13750.0
14,92.02158871399205,80.0,0,110,"['P2', 'P3']","{'P1': 'OFF', 'P2': 'ON', 'P3': 'ON'}",8800.0,8800.0
15,92.05746891118604,80.0,0,110,"['P2', 'P3']","{'P1': 'OFF', 'P2': 'ON', 'P3': 'ON'}",8800.0,8800.0
16,93.19171153012572,80.0,0,110,"['P2', 'P3']","{'P1': 'OFF', 'P2': 'ON', 'P3': 'ON'}",8800.0,8800.0
17,90.80586435506325,80.0,0,110,"['P2', 'P3']","{'P1': 'OFF', 'P2': 'ON', 'P3': 'ON'}",8800.0,8800.0
18,150.63467712717252,125.0,0,110,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",13750.0,13750.0
19,146.8182528227517,125.0,0,110,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",13750.0,13750.0
20,150.0142986689984,125.0,0,110,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",13750.0,13750.0
21,148.80553738816025,125.0,0,110,"['P1', 'P2', 'P3']","{'P1': 'ON', 'P2': 'ON', 'P3': 'ON'}",13750.0,13750.0
22,90.53522838546584,80.0,0,110,"['P2', 'P3']","{'P1': 'OFF', 'P2': 'ON', 'P3': 'ON'}",8800.0,8800.0
23,92.98448443138265,80.0,0,75,"['P2', 'P3']","{'P1': 'OFF', 'P2': 'ON', 'P3': 'ON'}",6000.0,6000.0
